Parameter Name,Type,Parameters,Description
investigation,string,"{""name of the investigation""}",The name of the investigation that teachers are currently working on
parameters,,,a list of additional properties related to the event (see below)
problem,string,"{""name of the CLUE problem""}",The name of the CLUE problem
section,,,"The name of the section the event relates to (e.g. if creating a tile in a section document), or that the user has open (if any)"
session,,,"Random string which changes with every session--if they exit the application and re-enter it, this string changes"
application,,,“CLUE”
appMode,string,"{""authed""}","authed, ""dev"", ""test"", ""demo"". To see only events for logged-in users, you can filter for “authed.”"
classHash,,,a unique identifier generated by the system for every class the teacher creates
time,,,Timestamp of the event (currently generated from the browser)
username,,,The id number of the user who initiated the event
role,string,"{""student""; ""teacher""}",Role of the user
problemPath,string,"{""unit name/unit number/problem number""}",The unique pathway of the problem file pathway
navTabsOpen,boolean,"{""true""; ""false""}",
selectedNavTabs,string,"{""name of problem""}",The navigation tab that the student has left open
method,string,,
group,string,"{""group number""}",The group number (usually an integer)
workspaceMode,string,"{""1-up""; ""4-up""}",The workspace mode showing
teacherPanel,,,This indicates whether teachers are currently using the “dashboard” view or the “workspace” view.