o,Tile Type,Value,Operation,Parameters,Description,History
ADD_INITIAL_COMMENT_FOR DOCUMENT,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places the first comment on a given document (e.g. the problem, teacher guide, their own teaching/planning documents, a peer’s teaching/planning documents)",
ADD_INITIAL_COMMENT_FOR_TILE,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places the first comment on a specific tile (e.g. text tile, graphing tool, image) within any document (e.g. the problem, teacher guide, the user’s own teaching/planning documents, a peer’s teaching/planning documents).",
ADD_RESPONSE_COMMENT_FOR_DOCUMENT,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places any additional comments on a given document (e.g. the problem, teacher guide, their own teaching/planning documents, a peer’s teaching/planning documents)",
ADD_RESPONSE_COMMENT_FOR_TILE,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places any additional comments on a specific tile (e.g. text tile, graphing tool, image) that has already been commented on. These tiles can be in any type of document (e.g. the problem, teacher guide, the user’s own teaching/planning documents, a peer’s teaching/planning documents).",
CHAT_PANEL_HIDE,Chat Panel,,,,"A user closes the chat panel, which is the area of the workspace where they can make and read comments on documents.",
CHAT_PANEL_SHOW,Chat Panel,,,,"A user opens the chat panel, which is the area of the workspace where they can make and read comments on documents",
CLOSE_STICKY_NOTES,Sticky Notes,,,{appMode: string; application: string; classHash: string; group: string; investigation: string; navTabsOpen: boolean; problem: string; problemPath: string; role: string; selectedNavTab: string; workspaceMode: string},A student closes a sticky note,
COLLAPSE_COMMENT_THREAD_FOR_DOCUMENT,,,,,,
COLLAPSE_COMMENT_THREAD_FOR_TILE,,,,,,
COPY_TILE,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string; sectionId: string},User dragged in a tile from somewhere else,
CREATE_LEARNING_LOG,Learning Log,,,{Title: string},User created a new learning log,
CREATE_PERSONAL_DOCUMENT,Global,,,{Title: string},User created a new personal document,
CREATE_STICKY_NOTE,Teacher,,,"{targetGroupId: string; targetUserId: string; text: string; type: string ""group"" or ""user""}",A teacher types and sends a message/support to students,
CREATE_TILE,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string; objectType: string ""drawing"" ""geometry"" ""image"" ""table"" ""text""; sectionId: string}",A user creates a new tile in one of their documents,
DASHBOARD_DESELECT_STUDENT,Teacher,,,{groupID: string; studentID: string},A teacher clicks on a particular group in Dashboard view to return to the group view after viewing the work of a particular student,
DASHBOARD_SELECT_STUDENT,Teacher,,,{groupID: string; studentID: string},A teacher clicks on a particular student’s workspace in Dashboard view to see their work rather than the work of the whole group,
DASHBOARD_SWITCH_CLASS,Teacher,,,{classHash: string; className: string},A teacher switches to a new class in the dashboard view,
DASHBOARD_TOGGLE_TO_DASHBOARD,Teacher,,,,A teacher clicks on “Dashboard” at the top of the screen in order to show Dashboard view,
DASHBOARD_TOGGLE_TO_WORKSPACE,Teacher,,,,A teacher clicks on “Workspace” at the top of the screen in order to show Workspace view,
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,numberinputmanualentry,,"User edits the value of a number control of a node, parameters.selectItem indicates the node field","Around April 2024 the parameters.targetType changed from ""nodedropdown"" to ""nodenumber"", and on the Number node parameters.selectItem changed from ""nodeValue"" to ""value""."
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,nodedropdownclick,,"User opens or closes a dropdown menu of a node, parameters.selectItem indicates the node field",
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,nodedropdownselection,,"User selects an item in a dropdown menu of a node, parameters.selectItem indicates the node field, parameters.value indicates the choosen menu item",
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,nodecreated,,"User adds a node to the diagram, node type is in parameters.nodeTypes",
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,toggle minigraph on,,User displayed the node's minigraph,
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,toggle minigraph off,,User hid the node's minigraph,
DATAFLOW_TOOL_CHANGE,DataFlow Tile,,unitdropdownselection,,"User changed the unit of a number control of a node, parameters.selectItem indicates the node field",
DELETE_COMMENT_FOR_DOCUMENT,Teacher,,,{commentText: string},A user deletes one of their comments on a given document,
DELETE_SUPPORT,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string},A user deletes a support that they have previously published to a class,
DELETE_TILE,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string; objectType: string ""drawing"" ""geometry"" ""image"" ""table"" ""text"";}",A user deletes a tile from one of their own documents ,
DRAWING_TOOL_CHANGE,Draw Tile,,name of the model action,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string; documentUid: string; operation: string, args: string[]}","A user makes a change to their work in an existing drawing tool (e.g. draws a new line, adds a new stamp)",
EXEMPLAR_VISIBILITY_UPDATE,,,,"{documentKey: string, documentTitle: string, documentType: string, documentUid: string; visibleToUser: boolean, changeSource: ""rule"" or ""manual""; rule: string}",,Added 4/2024
EXPAND_COMMENT_THREAD_FOR_DOCUMENT,,,,,,
EXPAND_COMMENT_THREAD_FOR_TILE,Global,,,{tileType: string; selectedNavTab: string; problem: string; curriculumFacent: string; curriculumSection: string},,
GEOMETRY_TOOL_CHANGE,Shapes Graph Tile,,,documentKey; documentTitle; documentType; documentUid; sectionId; operation; target; targetId; userAction; labelOption; text (see CLUE Parameters tab for definitions),A user makes a change to their work in an existing shapes graph (geometry) tile,5/2024 -- updated logging with more consistency in parameter usage. Added logging for paste and duplicate. Added userAction parameter.
GRAPH_TOOL_CHANGE,Graph Tile,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string; sectionId: string; operation: string ""create"" ""update"" ""move"" ""delete""; target: string ""image"" ""metadata"" ""moveableLine"" ""object"" ""point"" ""polygon"" ""vertex"" ""tableLink""}", A user makes a change to their work in an existing graph tool ,INACTIVE as of FEB 21 2024 - changed to GEOMETRY_TOOL_CHANGE
BARGRAPH_TOOL_CHANGE,Bar Graph Tile,,"setPrimaryAttribute, setSecondaryAttribute, setYAxisLabel, selectCases",documentKey; documentTitle; documentType; documentUid; sectionId; operation; attributeId; attributeValue; text,,
HIDE_SOLUTIONS,Teacher,,,,A teacher clicks the toggle button to hide problem solutions,
HISTORY_HIDE_CONTROL,Global,,,,History event,
HISTORY_PLAYBACK_SEEK,Global,,,,History event,
HISTORY_PLAYBACK_START,,,,,A teacher presses the start button for the history of a student CLUE document.,
HISTORY_PLAYBACK_STOP,,,,,A teacher presses the stop button for the history of a student CLUE document.,
HISTORY_SHOW_CONTROLS,Global,,,,History event,
INTERNAL_ERROR_ENCOUNTERED,Global,,,,The CLUE system displays an error message to the user,
INTERNAL_MONITOR_DOCUMENT,Teacher,,,,"The teacher clicks on the problem menu at the top of their screen, which will open a drop-down menu of all problems the teacher currently has assigned to this class",
LOADING_MEASUREMENTS,Global,,,{loadingMeasurements: object; documentMeasurements: object},"Upon load of CLUE, loading and document measurements are logged. Loading measurements are time based and in milliseconds and relate to the timing performance of CLUE startup. Document measurements (either # of tiles or docs) count the number of tiles (as well as tile type) and number of documents on the left and right side that were loaded. ",
MOVE_TILE,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string; objectType: string; sectionId: string},A user moves an existing tile to a new spot in the same document,
PUBLISH_DOCUMENT,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string; objectType: string; sectionId: string}, A user clicks the button to “publish workspace” at the top left of the document they are editing,
RENAME_TILE,Global,,,,A user renames a tile,
SHOW_SOLUTIONS,Teacher,,,,A teacher clicks the toggle button to show problem solutions,
SHOW_TAB,Global,,,{tab_name: string; selectedGroupId: string; selectedNavTab: string},"A user clicks on one of the main tabs (Problem, Teacher Guide, Student Workspaces, My Work, Class Work, or Supports)",
SHOW_TAB_SECTION,Global,,,{tab_section_name: string; tab_section_type:string},"A user clicks on one of the tab sections, which shows up as a second row of tabs",
SHOW_WORK,Global,,,,A user makes a change to their work in an existing table tool,
SPARROW_CREATION,Global,,,"{arrowId: string; sourceTileId: string; sourceTileType: string, targetTileId: string; targetTileType: string}",A user creates a sparrow from sourceTile to targetTile,
SPARROW_DELETION,Global,,,{arrowId: string},"A user deletes a sparrow (we do not log the source and target, only the Id)",
SPARROW_SHOW_HIDE,Global,,,{showOrHide: string},A user clicks the Hide Annotations button to toggle sparrow visiblity,
SPARROW_TITLE_CHANGE,Global,,,{arrowId: string; newTitle: string},A user types a new title into the sparrow that is an empty string and has changed from the previous,
TABLE_TOOL_CHANGE,Table Tile,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string; sectionId: string},User made a change in the drawing tool,
TEACHER_NETWORK_COLLAPSE_DOCUMENT_SECTION,Teacher,,,{networkUsername: string},"A teacher clicks on a section of network documents to collapse it, after previously expanding it",
TEACHER_NETWORK_EXPAND_DOCUMENT_SECTION,Teacher,,,{networkUsername: string},A teacher clicks on a section of network documents to expand it,
TEXT_TOOL_CHANGE,Text,,"""update""","{args: string-editor data; documentUid: string; documentKey: string; documentType: string; documentTitle: string, plainText: string, wordCount: number}",,plainText and wordCount added 4/2024
TILE_LINK,Global,,,{sourceTile: Object{id: string; type: string; title: string} ; sharedTiles: Array of Objects where each Object{id: string; type: string; title: string} ; sharedModel: Object{id: string; type: string},A user links a tile to another tile where they share the same dataset,
TILE_UNLINK,Global,,,{sourceTile: Object{id: string; type: string; title: string} ; sharedTiles: Array of Objects where each Object{id: string; type: string; title: string} ; sharedModel: Object{id: string; type: string},A user unlinks a tile to another tile where they share the same dataset,
VIEW_ENTER_FOUR_UP,Global,,,,A user entered the 4-up view,
VIEW_ENTER_ONE_UP,Global,,,,A user exited the 4-up view,
VIEW_FOUR_UP_RESIZED,Teacher,,,{selectedGroup: string},The teacher adjusts the four-up view in the “Student Workspaces” tab by moving the boundary lines that appear between students,
VIEW_GROUP,Teacher,,,{group: string; selectedGroup; string},The teacher clicks on a group to view their workspace in the “Student Workspaces” tab,
VIEW_HIDE_COMPARISON_PANEL,Global,,,,User exited the comparison view,
VIEW_SHOW_COMPARISON_DOCUMENT,Global,,,,"User opened a section document or a learning log document in the sorted comparison tab (usually labeld ""Class Work"")",
VIEW_SHOW_COMPARISON_PANEL,,,,,,
VIEW_SHOW_DOCUMENT,Global,,,,User opened a section document or a learning log document in the primary panel,
VIEW_SHOW_SUPPORT,Global,,,,User opened a support,
VIEW_SHOW_TEACHER_NETWORK_COMPARISON_DOCUMENT,Teacher,,,,,
TOOLBAR_EDIT_TOOL,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string},User clicks edit resource toolbar tool,
TOOLBAR_SELECT_ALL_TOOL,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string, selectAllTiles: boolean}",User clicks select all resource toolbar tool,
TOOLBAR_COPY_TO_DOCUMENT,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string, targetDocumentKey: string; targetDocumentTitle: string; targetDocumentType: string; targetDocumentUid: string}",User clicks copy to document resource toolbar tool,
TOOLBAR_COPY_TO_WORKSPACE,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string, targetDocumentKey: string; targetDocumentTitle: string; targetDocumentType: string; targetDocumentUid: string}",User clicks copy to workspace resource toolbar tool,
TOOLBAR_PLAYBACK_TOOL,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string, showPlaybackControls: boolean}",User clicks playback resource toolbar tool,
TOOLBAR_FOUR_UP_TOOL,Global,,,,User clicks four up resource toolbar tool,
REQUEST_IDEA,Global,,,"{documentKey: string, documentTitle: string; documentTye: string; documentUid: string}","User clicks the ""Ideas?"" button (selected units only, when exemplars are enabled)",
FIRST_SORT_CHANGE,Sort Panel,,,"{old: string, new: string}","User changes the first ""sort by"" select (""Sort by"")",
SECOND_SORT_CHANGE,Sort Panel,,,"{old: string, new: string}","User changes the second ""sort by"" select (""then"")",
SORT_SCOPE_CHANGE,Sort Panel,,,"{old: string, new: string}","User changes the third ""sort by"" select (""Show for"")",
SORT_HEADER_TOGGLED,Sort Panel,,,"{documentGroup: string, show: boolean, numDocs: number, primarySort: string, secondarySort: string}",User expands/collapses the sort header,
CLOSE_SORTED_DOCUMENT,Sort Panel,,,(same as VIEW_SHOW_DOCUMENT),User closes a document in the sort view,